Input,Output
Move 'file1.txt' to 'archive/' directory quickly in the home directory for [URL],"```bash
mv ~/file1.txt ~/archive/
```"
Move 'file1.txt' to 'archive/' directory in /Applications,"```bash
mv /Applications/file1.txt /Applications/archive/
```"
Create a new directory named 'test'  in the parent directory for [DATE],"```bash
mkdir ../test
```"
Find all .txt files in the current directory for [PROCESS_ID],"```bash
find . -name ""*.txt""
```"
Create a new directory named 'test' quickly in the home directory for [USERNAME],"```bash
mkdir /home/[USERNAME]/test
```"
List all files in the current directory securely in the current folder for [USERNAME],"```bash
ls -l
```"
Find all .txt files in the current directory  in ~/.ssh for [USERNAME],"```bash
find ~/.ssh -type f -name ""*.txt""
```"
Show the current directory path forcefully in /tmp for [USERNAME],"```bash
pwd > /tmp/[USERNAME]
```"
Copy 'file1.txt' to 'file2.txt' silently in /usr/local/bin for [TIME],"```bash
cp -f /usr/local/bin/file1.txt /usr/local/bin/file2.txt 2>/dev/null
```"
Show the current directory path quickly in /tmp for [USERNAME],"```bash
sudo -u [USERNAME] pwd > /tmp/current_dir.txt
```"
Display disk usage of the current directory  in ~/.ssh for [EMAIL],"```bash
du -sh ~/.ssh
```"
Display the contents of 'file.txt' forcefully in /Applications for [PORT],"```bash
sudo cat /Applications/file.txt
```"
Create a new directory named 'test' recursively in /usr/local/bin for [IP_ADDRESS],"```bash
sudo mkdir -p /usr/local/bin/test
```"
Display disk usage of the current directory forcefully  for,"```bash
du -sh .
```"
List all files in the current directory silently  for [APP_NAME],"```bash
ls > /dev/null
```"
Remove a file named 'example.txt' recursively  for [DATE],"```bash
find / -name 'example.txt' -exec rm -f {} +
```"
Find all .txt files in the current directory recursively in ~/.ssh for [URL],"```bash
find ~/.ssh -type f -name ""*.txt""
```"
Move 'file1.txt' to 'archive/' directory forcefully in the parent directory for,"```bash
mv -f file1.txt ../archive/
```"
Display disk usage of the current directory securely in the parent directory for [APP_NAME],"```bash
du -sh . > ../[APP_NAME]_disk_usage.txt
```"
Display the contents of 'file.txt' securely in /tmp for [FILE],"```bash
cat file.txt > /tmp/file.txt
```"
Show the current directory path recursively  for [EMAIL],"```bash
find $(pwd)
```"
Create a new directory named 'test' recursively in the home directory for [FILE],"```bash
mkdir -p ~/test
```"
Move 'file1.txt' to 'archive/' directory quickly in ~/Documents for [APP_NAME],"```bash
mv ~/Documents/file1.txt ~/Documents/archive/
```"
Move 'file1.txt' to 'archive/' directory recursively  for [EMAIL],"```bash
mv file1.txt archive/
```"
Show the current directory path recursively in the home directory for [URL],"```bash
find ~ -type d -name [URL]
```"
List all files in the current directory  in ~/Documents for [DATE],"```bash
ls -l ~/Documents --time-style=+%Y-%m-%d | grep [DATE]
```"
Create a new directory named 'test'  in the current folder for [URL],"```bash
mkdir test
```"
Display the contents of 'file.txt' recursively in /usr/local/bin for [DIRECTORY],"```bash
find /usr/local/bin -type f -name 'file.txt' -exec cat {} +
```"
List all files in the current directory securely in ~/Documents for [TIME],"```bash
ls -l > ~/Documents/$(date +""%Y%m%d_%H%M%S"").txt
```"
Display disk usage of the current directory interactively in the current folder for,"```bash
du -sh .
```"
Change to the home directory securely in /usr/local/bin for [URL],"```bash
cd ~/ && sudo curl -o /usr/local/bin/script_name [URL] && sudo chmod +x /usr/local/bin/script_name
```"
Show the current directory path in /usr/local/bin,"```bash
pwd > /usr/local/bin/current_directory.txt
```"
Change to the home directory quickly in the current folder for [PORT],"```bash
cd ~
```"
Create a new directory named 'test' forcefully in /usr/local/bin for [FILE],"```bash
sudo mkdir -p /usr/local/bin/test
```"
Create a new directory named 'test'  in /tmp for [PROCESS_ID],"```bash
mkdir /tmp/test
```"
Create a new directory named 'test' forcefully in the current folder for [EMAIL],"```bash
mkdir -p test
```"
Show the current directory path forcefully in ~/Documents for [APP_NAME],"```bash
echo $PWD > ~/Documents/[APP_NAME]
```"
Change to the home directory forcefully in ~/Documents for [DATE],"```bash
cd ~/Documents/""[DATE]""
```"
Display disk usage of the current directory recursively in ~/.ssh for [URL],"```bash
du -h ~/.ssh
```"
Find all .txt files in the current directory forcefully  for [URL],"```bash
find . -name ""*.txt""
```"
List all files in the current directory verbosely in ~/Documents for [URL],"```bash
ls -al > ~/Documents/file_list.txt
```"
Copy 'file1.txt' to 'file2.txt' forcefully in the parent directory for [DATE],"```bash
cp -f file1.txt ../file2.txt
```"
Find all .txt files in the current directory verbosely in ~/Documents for [PROCESS_ID],"```bash
find ~/Documents -name '*.txt' -print
```"
Change to the home directory forcefully in the home directory for [PORT],"```bash
cd ~${PORT%/*}
```"
Change to the home directory recursively  for [PORT],"```bash
cd ~
```"
Display the contents of 'file.txt'  in the home directory for,"```bash
cat ~/file.txt
```"
Display the contents of 'file.txt' verbosely in /tmp for [URL],"```bash
cat /tmp/file.txt
```"
Remove a file named 'example.txt' securely in the parent directory for [TIME],"```bash
shred -u ../example.txt
```"
Remove a file named 'example.txt' interactively in /tmp for [EMAIL],"```bash
rm -i /tmp/example.txt
```"
Move 'file1.txt' to 'archive/' directory silently in the home directory for,"```bash
mv ~/file1.txt ~/archive/ 2>/dev/null
```"
Move 'file1.txt' to 'archive/' directory verbosely in ~/.ssh for [APP_NAME],"```bash
mv -v ~/.ssh/[APP_NAME]/file1.txt ~/.ssh/[APP_NAME]/archive/
```"
Change to the home directory verbosely in ~/Documents for [USERNAME],"```bash
cd -v /home/[USERNAME]/Documents
```"
Create a new directory named 'test' forcefully in the parent directory for,"```bash
mkdir -p ../test
```"
Show the current directory path,"```bash
pwd
```"
List all files in the current directory quickly in ~/.ssh for [APP_NAME],"```bash
ls ~/.ssh/*[APP_NAME]*
```"
Remove a file named 'example.txt' securely in /usr/local/bin for [PORT],"```bash
shred -u /usr/local/bin/example.txt
```"
Display the contents of 'file.txt'  in the home directory for [URL],"```bash
cat ~/file.txt
```"
Display disk usage of the current directory forcefully in /tmp for [PROCESS_ID],"```bash
sudo du -sh /proc/[PROCESS_ID]/cwd > /tmp/disk_usage.txt
```"
Change to the home directory forcefully in ~/Documents for [USERNAME],"```bash
cd /home/[USERNAME]/Documents
```"
Create a new directory named 'test' for [DIRECTORY],"```bash
mkdir [DIRECTORY]/test
```"
Remove a file named 'example.txt' verbosely in the parent directory for [FILE],"```bash
rm -v ../example.txt
```"
Change to the home directory recursively in ~/Documents for [TIME],"```bash
find ~/Documents -type d -exec touch -t [TIME] {} \;
```"
Move 'file1.txt' to 'archive/' directory recursively in /usr/local/bin for [FILE],"```bash
mv /usr/local/bin/**/file1.txt archive/
```"
Move 'file1.txt' to 'archive/' directory for [PORT],"```bash
mv file1.txt archive/
```"
Show the current directory path interactively in ~/Documents for [PROCESS_ID],"```bash
readlink -f /proc/[PROCESS_ID]/cwd
```"
Display the contents of 'file.txt' securely in ~/.ssh for [DIRECTORY],"```bash
cat ~/.ssh/file.txt
```"
List all files in the current directory verbosely in ~/.ssh for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] 'ls -l ~/.ssh'
```"
Move 'file1.txt' to 'archive/' directory verbosely in the current folder for [IP_ADDRESS],"```bash
mv -v file1.txt archive/
```"
Display the contents of 'file.txt' securely in /Applications for [DATE],"```bash
sudo cat /Applications/file.txt
```"
Display the contents of 'file.txt'  in the parent directory for,"```bash
cat ../file.txt
```"
Remove a file named 'example.txt' interactively in ~/Documents for [FILE],"```bash
rm -i ~/Documents/example.txt
```"
Move 'file1.txt' to 'archive/' directory quickly in ~/.ssh for [TIME],"```bash
mv ~/.ssh/file1.txt ~/.ssh/archive/
```"
Display the contents of 'file.txt' forcefully  for [USERNAME],"```bash
sudo cat file.txt
```"
Change to the home directory forcefully in /tmp for [PORT],"```bash
cd /tmp/[PORT]/home
```"
Change to the home directory recursively in /usr/local/bin for [PORT],"```bash
cd ~PORT /usr/local/bin
```"
Change to the home directory verbosely in /tmp for [DIRECTORY],"```bash
cd -v /tmp/[DIRECTORY]
```"
Display the contents of 'file.txt',"```bash
cat file.txt
```"
Show the current directory path recursively in the home directory for [APP_NAME],"```bash
find ~/ -type d -name ""[APP_NAME]""
```"
Create a new directory named 'test' recursively in ~/.ssh for [FILE],"```bash
mkdir -p ~/.ssh/test
```"
Display disk usage of the current directory  in the parent directory for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] 'du -sh ./'
```"
Create a new directory named 'test' forcefully  for [PORT],"```bash
mkdir -p test
```"
List all files in the current directory silently in /usr/local/bin for [DATE],"```bash
ls > /usr/local/bin/$(date +%Y-%m-%d)
```"
Remove a file named 'example.txt' recursively in the current folder for [PROCESS_ID],"```bash
find . -name 'example.txt' -exec rm -f {} \; -exec kill -9 [PROCESS_ID] \;
```"
Display the contents of 'file.txt' quickly in /tmp for [DIRECTORY],"```bash
cat /tmp/[DIRECTORY]/file.txt
```"
Show the current directory path verbosely  for [EMAIL],"```bash
pwd -v
```"
Display the contents of 'file.txt' silently in the home directory for [URL],"```bash
cat ~/file.txt > /dev/null
```"
Show the current directory path verbosely in /tmp for [EMAIL],"```bash
pwd > /tmp/[EMAIL]
```"
List all files in the current directory recursively in the current folder for [EMAIL],"```bash
find . -type f
```"
Move 'file1.txt' to 'archive/' directory for [EMAIL],"```bash
mv file1.txt archive/
```"
Copy 'file1.txt' to 'file2.txt'   for [PROCESS_ID],"```bash
cp file1.txt file2.txt
```"
Display the contents of 'file.txt' silently in the parent directory for [USERNAME],"```bash
cat ../file.txt > /dev/null
```"
Change to the home directory interactively in ~/.ssh for [FILE],"```bash
cd ~/; cd ~/.ssh/FILE
```"
Create a new directory named 'test'  in ~/Documents for [PORT],"```bash
mkdir ~/Documents/test
```"
Display disk usage of the current directory verbosely in /tmp for [FILE],"```bash
du -sh [FILE] > /tmp/disk_usage_verbose.txt
```"
Display disk usage of the current directory interactively in ~/.ssh for [FILE],"```bash
cd ~/.ssh && du -h --max-depth=1
```"
Remove a file named 'example.txt' for [FILE],"```bash
rm example.txt
```"
Show the current directory path securely in /tmp for [FILE],"```bash
realpath [FILE] > /tmp/current_directory_path.txt
```"
Show the current directory path verbosely in ~/Documents for [URL],"```bash
pwd -v ~/Documents
```"
Find all .txt files in the current directory silently  for [TIME],"```bash
find . -name ""*.txt"" >/dev/null
```"
Show the current directory path forcefully in /Applications for [DIRECTORY],"```bash
echo ""$(cd /Applications/[DIRECTORY] && pwd)""
```"
List all files in the current directory recursively in ~/Documents for [EMAIL],"```bash
find . > ~/Documents/file_list.txt
```"
Display disk usage of the current directory silently in /usr/local/bin for [URL],"```bash
du -sh . > /usr/local/bin/usage.txt
```"
Display disk usage of the current directory for [EMAIL],"```bash
du -sh .
```"
Change to the home directory  in ~/.ssh for [IP_ADDRESS],"```bash
cd ~/.ssh
```"
Change to the home directory quickly  for [PORT],"```bash
cd ~
```"
List all files in the current directory securely in /tmp for [EMAIL],"```bash
ls -l > /tmp/files_list.txt | mail -s ""Files List"" [EMAIL] < /tmp/files_list.txt
```"
Find all .txt files in the current directory for [DATE],"```bash
find . -type f -name ""*.txt"" -newermt ""[DATE]"" ! -newermt ""[DATE] +1 day""
```"
Create a new directory named 'test' interactively in /Applications for [DATE],"```bash
mkdir -p /Applications/test
```"
Create a new directory named 'test' quickly in ~/.ssh for [FILE],"```bash
mkdir -p ~/.ssh/test
```"
Remove a file named 'example.txt' silently  for [TIME],"```bash
rm -f example.txt
```"
Create a new directory named 'test',"```bash
mkdir test
```"
Display the contents of 'file.txt' quickly in the home directory for [URL],"```bash
cat ~/file.txt
```"
List all files in the current directory for [IP_ADDRESS],"```bash
ssh user@[IP_ADDRESS] ls
```"
Move 'file1.txt' to 'archive/' directory quickly in /usr/local/bin for [EMAIL],"```bash
mv /usr/local/bin/file1.txt /usr/local/bin/archive/
```"
Find all .txt files in the current directory securely in ~/Documents for [APP_NAME],"```bash
find . -type f -name ""*.txt"" -exec cp -- {} ~/Documents/ \;
```"
Remove a file named 'example.txt'  in ~/.ssh for [DATE],"```bash
rm ~/.ssh/example.txt
```"
Display the contents of 'file.txt'   for [FILE],"```bash
cat file.txt
```"
Change to the home directory verbosely in /tmp for [PROCESS_ID],"```bash
strace -p [PROCESS_ID] -e trace=chdir
```"
Display disk usage of the current directory  in /Applications for,"```bash
du -sh /Applications
```"
List all files in the current directory quickly in ~/Documents for [FILE],"```bash
ls -1 > ~/Documents/[FILE]
```"
List all files in the current directory in the current folder,"```bash
ls
```"
Create a new directory named 'test'  in /usr/local/bin for [URL],"```bash
sudo mkdir /usr/local/bin/test
```"
Display disk usage of the current directory quickly in /Applications for [IP_ADDRESS],"```bash
ssh [IP_ADDRESS] 'du -sh /Applications'
```"
Create a new directory named 'test' in ~/Documents,"```bash
mkdir ~/Documents/test
```"
Display disk usage of the current directory quickly in ~/Documents for,"```bash
du -sh ~/Documents
```"
Change to the home directory securely in ~/.ssh for [FILE],"```bash
cd ~ && chmod 700 .ssh && cd .ssh && chmod 600 [FILE]
```"
Display disk usage of the current directory for [APP_NAME],"```bash
du -sh [APP_NAME]
```"
Remove a file named 'example.txt' recursively  for [TIME],"```bash
find /path/to/search -type f -name 'example.txt' -exec rm {} \;
```"
Show the current directory path interactively in ~/Documents for [URL],`cd ~/Documents && pwd`
Display disk usage of the current directory securely in ~/.ssh for [FILE],"```bash
du -sh ~/.ssh/[FILE]
```"
Move 'file1.txt' to 'archive/' directory interactively in ~/.ssh for [FILE],"```bash
mv -i ~/.ssh/file1.txt ~/.ssh/archive/
```"
Display the contents of 'file.txt' silently  for [EMAIL],"```bash
cat file.txt > /dev/null
```"
Remove a file named 'example.txt' interactively in the current folder for [TIME],"```bash
rm -i example.txt
```"
Copy 'file1.txt' to 'file2.txt' quickly in ~/Documents for [IP_ADDRESS],"```bash
scp file1.txt [IP_ADDRESS]:~/Documents/file2.txt
```"
